Fichier, Temps Naif (µs), Temps Welzl (µs)
a-100.points, 82658, 2737
b-200.points, 56655, 1454
c-300.points, 89741, 2976
d-400.points, 628007, 430
e-500.points, 1232878, 500
f-600.points, 2049544, 1351
g-700.points, 3244480, 1237
h-800.points, 4758399, 6286
i-900.points, 7689329, 2508
j-1000.points, 11238888, 3022
k-1100.points, 15090277, 2069
l-1200.points, 19134671, 1726
m-1300.points, 23551245, 3658
n-1400.points, 29218647, 10766
o-1500.points, 35459047, 4737
p-1600.points, 44121904, 2999
q-1700.points, 55508232, 4108
r-1800.points, 65710359, 12775
s-1900.points, 73657458, 6197
t-2000.points, 85136930, 11897
u-2100.points, 99619890, 14087
v-2200.points, 141300305, 20120
w-2300.points, 161710334, 30353
x-2400.points, 184700770, 12218
y-2500.points, 208747648, 14863
